date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:31:53	3025/3025	---M--	200	added ('OK')	image/png	etag:%2255be2af7-bd1%22	http://target-agriculture.com/static/cms/assets/img/icons/social/github.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/github.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:54	3261/3261	---M--	200	added ('OK')	image/png	etag:%2255be2af7-cbd%22	http://target-agriculture.com/static/cms/assets/img/icons/social/googleplus.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/googleplus.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:54	3076/3076	---M--	200	added ('OK')	image/png	etag:%2255be2af7-c04%22	http://target-agriculture.com/static/cms/assets/img/icons/social/jolicloud.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/jolicloud.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:55	3320/3320	---M--	200	added ('OK')	image/png	etag:%2255be2af7-cf8%22	http://target-agriculture.com/static/cms/assets/img/icons/social/last-fm.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/last-fm.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:55	3004/3004	---M--	200	added ('OK')	image/png	etag:%2255be2af7-bbc%22	http://target-agriculture.com/static/cms/assets/img/icons/social/linkedin.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/linkedin.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:55	3119/3119	---M--	200	added ('OK')	image/png	etag:%2255be2af7-c2f%22	http://target-agriculture.com/static/cms/assets/img/icons/social/picasa.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/picasa.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:56	3116/3116	---M--	200	added ('OK')	image/png	etag:%2255be2af7-c2c%22	http://target-agriculture.com/static/cms/assets/img/icons/social/pintrest.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/pintrest.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:57	3358/3358	---M--	200	added ('OK')	image/png	etag:%2255be2af7-d1e%22	http://target-agriculture.com/static/cms/assets/img/icons/social/rss.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/rss.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:57	3241/3241	---M--	200	added ('OK')	image/png	etag:%2255be2af7-ca9%22	http://target-agriculture.com/static/cms/assets/img/icons/social/skype.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/skype.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:58	3105/3105	---M--	200	added ('OK')	image/png	etag:%2255be2af7-c21%22	http://target-agriculture.com/static/cms/assets/img/icons/social/stumbleupon.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/stumbleupon.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:58	3025/3025	---M--	200	added ('OK')	image/png	etag:%2255be2af7-bd1%22	http://target-agriculture.com/static/cms/assets/img/icons/social/tumblr.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/tumblr.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:59	3055/3055	---M--	200	added ('OK')	image/png	etag:%2255be2af7-bef%22	http://target-agriculture.com/static/cms/assets/img/icons/social/twitter.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/twitter.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:31:59	3216/3216	---M--	200	added ('OK')	image/png	etag:%2255be2af7-c90%22	http://target-agriculture.com/static/cms/assets/img/icons/social/vimeo.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/vimeo.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:32:00	3415/3415	---M--	200	added ('OK')	image/png	etag:%2255be2af7-d57%22	http://target-agriculture.com/static/cms/assets/img/icons/social/wordpress.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/wordpress.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:32:00	3081/3081	---M--	200	added ('OK')	image/png	etag:%2255be2af7-c09%22	http://target-agriculture.com/static/cms/assets/img/icons/social/xing.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/xing.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:32:00	3068/3068	---M--	200	added ('OK')	image/png	etag:%2255be2af7-bfc%22	http://target-agriculture.com/static/cms/assets/img/icons/social/yahoo.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/yahoo.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:32:01	3300/3300	---M--	200	added ('OK')	image/png	etag:%2255be2af7-ce4%22	http://target-agriculture.com/static/cms/assets/img/icons/social/youtube.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/icons/social/youtube.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:32:01	137/137	---M--	200	added ('OK')	image/png	etag:%2255be2af7-89%22	http://target-agriculture.com/static/cms/assets/img/sliders/revolution/bg-text.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/sliders/revolution/bg-text.png	(from http://target-agriculture.com/static/cms/assets/css/style.css)
04:32:01	514/514	---M--	200	added ('OK')	image/png	etag:%2255be2af6-202%22	http://target-agriculture.com/static/cms/assets/img/overlay-icon.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/img/overlay-icon.png	(from http://target-agriculture.com/static/cms/assets/css/effects.css)
04:32:02	4939/4939	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2017%20Jun%202016%2003:27:18%20GMT	http://www.target-agriculture.com/favicon.ico	C:/My%20Web%20Sites/LANRE-CASHEW/www.target-agriculture.com/favicon.ico	(from http://www.target-agriculture.com/)
04:32:02	952/952	---M--	200	added ('OK')	image/png	etag:%2255be2af7-3b8%22	http://target-agriculture.com/static/cms/assets/plugins/parallax-slider/img/bg-heading.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/plugins/parallax-slider/img/bg-heading.png	(from http://target-agriculture.com/static/cms/assets/css/themes/default.css)
04:32:03	1529/1529	---M--	200	added ('OK')	image/png	etag:%2255be2af7-5f9%22	http://target-agriculture.com/static/cms/assets/plugins/bxslider/images/controls.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/assets/plugins/bxslider/images/controls.png	(from http://target-agriculture.com/static/cms/assets/css/themes/default.css)
04:32:05	4289/4289	---M--	200	added ('OK')	image/png	etag:%2255be2af6-10c1%22	http://target-agriculture.com/static/cms/rs-plugin/assets/shadow1.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/shadow1.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:06	5661/5661	---M--	200	added ('OK')	image/png	etag:%2255be2af6-161d%22	http://target-agriculture.com/static/cms/rs-plugin/assets/shadow2.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/shadow2.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:06	6428/6428	---M--	200	added ('OK')	image/png	etag:%2255be2af6-191c%22	http://target-agriculture.com/static/cms/rs-plugin/assets/shadow3.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/shadow3.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:07	42935/42935	---M--	200	added ('OK')	image/png	etag:%2255be2af6-a7b7%22	http://target-agriculture.com/static/cms/rs-plugin/images/gradient/g30.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/images/gradient/g30.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:07	2746/2746	---M--	200	added ('OK')	image/png	etag:%2255be2af6-aba%22	http://target-agriculture.com/static/cms/rs-plugin/assets/boxed_bgtile.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/boxed_bgtile.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:07	42464/42464	---M--	200	added ('OK')	image/png	etag:%2255be2af6-a5e0%22	http://target-agriculture.com/static/cms/rs-plugin/images/gradient/g40.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/images/gradient/g40.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:08	149/149	---M--	200	added ('OK')	image/png	etag:%2255be2af6-95%22	http://target-agriculture.com/static/cms/rs-plugin/assets/navigdots_bgtile.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/navigdots_bgtile.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:09	1153/1153	---M--	200	added ('OK')	image/png	etag:%2255be2af6-481%22	http://target-agriculture.com/static/cms/rs-plugin/assets/bullets.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/bullets.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:09	278/278	---M--	200	added ('OK')	image/png	etag:%2255be2af6-116%22	http://target-agriculture.com/static/cms/rs-plugin/assets/bullets2.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/bullets2.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
04:32:10	924/924	---M--	200	added ('OK')	image/png	etag:%2255be2af6-39c%22	http://target-agriculture.com/static/cms/rs-plugin/assets/bullet_boxed.png	C:/My%20Web%20Sites/LANRE-CASHEW/target-agriculture.com/static/cms/rs-plugin/assets/bullet_boxed.png	(from http://target-agriculture.com/static/cms/rs-plugin/css/settings.css)
